experiment,not_detected,detected_opposite,detected_orthogonal,detected_parallel,detected_correct,errors,total
control,13,0,2,3,2,0,20
L17H3_input_amplify,12,0,6,1,1,0,20
L17H3_input_amplify_no_concept,20,0,0,0,0,0,20
L17H3_ablate,12,0,2,3,3,0,20
L17H3_reverse,15,0,3,2,0,0,20
L31H3_input_amplify,6,0,3,8,3,0,20
L31H3_input_amplify_no_concept,0,0,13,7,0,0,20
L31H3_ablate,13,0,2,2,3,0,20
L31H3_reverse,14,0,0,2,4,0,20
mlp17_input_amplify,12,0,3,2,3,0,20
mlp17_input_amplify_no_concept,20,0,0,0,0,0,20
mlp17_ablate,15,0,1,2,2,0,20
mlp17_reverse,20,0,0,0,0,0,20
mlp21_input_amplify,13,0,1,3,3,0,20
mlp21_input_amplify_no_concept,20,0,0,0,0,0,20
mlp21_ablate,13,0,2,2,3,0,20
mlp21_reverse,20,0,0,0,0,0,20
mlp29_input_amplify,15,0,3,0,2,0,20
mlp29_input_amplify_no_concept,20,0,0,0,0,0,20
mlp29_ablate,14,0,0,3,3,0,20
mlp29_reverse,20,0,0,0,0,0,20
